Cipher,Mode,CPU,Length,Speed
AES-256-CTR,Encryption Only,Apple M3 Pro,64,37.13
AES-256-CTR,Encryption Only,Apple M3 Pro,256,70.12
AES-256-CTR,Encryption Only,Apple M3 Pro,1024,95.05
AES-256-CTR,Encryption Only,Apple M3 Pro,2048,101.49
AES-256-CTR,Encryption Only,Apple M3 Pro,4096,102.72
AES-256-CTR,Encryption Only,Apple M3 Pro,8192,105.1
AES-256-CTR,Encryption Only,Apple M3 Pro,16384,106.19
AES-256-GCM,AEAD,Apple M3 Pro,64,27.741032
AES-256-GCM,AEAD,Apple M3 Pro,256,42.953706
AES-256-GCM,AEAD,Apple M3 Pro,1024,65.2209396
AES-256-GCM,AEAD,Apple M3 Pro,2048,68.7848948
AES-256-GCM,AEAD,Apple M3 Pro,4096,70.4320104
AES-256-GCM,AEAD,Apple M3 Pro,8192,71.1977404
AES-256-GCM,AEAD,Apple M3 Pro,16384,71.5576652
HiAE,AEAD,Apple M3 Pro,64,14.64
HiAE,AEAD,Apple M3 Pro,256,62.25
HiAE,AEAD,Apple M3 Pro,1024,133.32
HiAE,AEAD,Apple M3 Pro,2048,164.095
HiAE,AEAD,Apple M3 Pro,4096,184.66
HiAE,AEAD,Apple M3 Pro,8192,198.33
HiAE,AEAD,Apple M3 Pro,16384,205.63
HiAE,Encryption Only,Apple M3 Pro,64,23.6
HiAE,Encryption Only,Apple M3 Pro,256,96.43
HiAE,Encryption Only,Apple M3 Pro,1024,164.04
HiAE,Encryption Only,Apple M3 Pro,2048,187.4
HiAE,Encryption Only,Apple M3 Pro,4096,198.74
HiAE,Encryption Only,Apple M3 Pro,8192,206.24
HiAE,Encryption Only,Apple M3 Pro,16384,208.67
Rocca,AEAD,Apple M3 Pro,64,24.3
Rocca,AEAD,Apple M3 Pro,256,65.65
Rocca,AEAD,Apple M3 Pro,1024,131.49
Rocca,AEAD,Apple M3 Pro,2048,155.245
Rocca,AEAD,Apple M3 Pro,4096,176.52
Rocca,AEAD,Apple M3 Pro,8192,181.87
Rocca,AEAD,Apple M3 Pro,16384,191.245
Rocca,Encryption Only,Apple M3 Pro,64,25.29
Rocca,Encryption Only,Apple M3 Pro,256,67.63
Rocca,Encryption Only,Apple M3 Pro,1024,133.24
Rocca,Encryption Only,Apple M3 Pro,2048,158.02
Rocca,Encryption Only,Apple M3 Pro,4096,177.89
Rocca,Encryption Only,Apple M3 Pro,8192,190.68
Rocca,Encryption Only,Apple M3 Pro,16384,194.47
Rocca-S,AEAD,Apple M3 Pro,64,17.74
Rocca-S,AEAD,Apple M3 Pro,256,52.255
Rocca-S,AEAD,Apple M3 Pro,1024,111.49
Rocca-S,AEAD,Apple M3 Pro,2048,135.9
Rocca-S,AEAD,Apple M3 Pro,4096,157.75
Rocca-S,AEAD,Apple M3 Pro,8192,168.53
Rocca-S,AEAD,Apple M3 Pro,16384,172.395
Rocca-S,Encryption Only,Apple M3 Pro,64,22.88
Rocca-S,Encryption Only,Apple M3 Pro,256,61.82
Rocca-S,Encryption Only,Apple M3 Pro,1024,119.39
Rocca-S,Encryption Only,Apple M3 Pro,2048,137.17
Rocca-S,Encryption Only,Apple M3 Pro,4096,156.34
Rocca-S,Encryption Only,Apple M3 Pro,8192,167.14
Rocca-S,Encryption Only,Apple M3 Pro,16384,169.38
SNOW-V,Encryption Only,Apple M3 Pro,64,11.16
SNOW-V,Encryption Only,Apple M3 Pro,256,23.92
SNOW-V,Encryption Only,Apple M3 Pro,1024,42.17
SNOW-V,Encryption Only,Apple M3 Pro,2048,39.35
SNOW-V,Encryption Only,Apple M3 Pro,4096,40.72
SNOW-V,Encryption Only,Apple M3 Pro,8192,41.27
SNOW-V,Encryption Only,Apple M3 Pro,16384,41.38
SNOW-V-GCM,AEAD,Apple M3 Pro,64,11.75
SNOW-V-GCM,AEAD,Apple M3 Pro,256,13.34
SNOW-V-GCM,AEAD,Apple M3 Pro,1024,13.51
SNOW-V-GCM,AEAD,Apple M3 Pro,2048,13.44
SNOW-V-GCM,AEAD,Apple M3 Pro,4096,13.535
SNOW-V-GCM,AEAD,Apple M3 Pro,8192,13.575
SNOW-V-GCM,AEAD,Apple M3 Pro,16384,13.535
AEGIS-128L,AEAD,Hisilicon Kirin 9000S (Mate 60),64,2.23
AEGIS-128L,AEAD,Hisilicon Kirin 9000S (Mate 60),256,15.62
AEGIS-128L,AEAD,Hisilicon Kirin 9000S (Mate 60),1024,31.97
AEGIS-128L,AEAD,Hisilicon Kirin 9000S (Mate 60),2048,29.62
AEGIS-128L,AEAD,Hisilicon Kirin 9000S (Mate 60),4096,43.34
AEGIS-128L,AEAD,Hisilicon Kirin 9000S (Mate 60),8192,46.09
AEGIS-128L,AEAD,Hisilicon Kirin 9000S (Mate 60),16384,47.57
AEGIS-128L,Encryption Only,Hisilicon Kirin 9000S (Mate 60),64,3.52
AEGIS-128L,Encryption Only,Hisilicon Kirin 9000S (Mate 60),256,21.02
AEGIS-128L,Encryption Only,Hisilicon Kirin 9000S (Mate 60),1024,36.83
AEGIS-128L,Encryption Only,Hisilicon Kirin 9000S (Mate 60),2048,42.15
AEGIS-128L,Encryption Only,Hisilicon Kirin 9000S (Mate 60),4096,45.37
AEGIS-128L,Encryption Only,Hisilicon Kirin 9000S (Mate 60),8192,47.2
AEGIS-128L,Encryption Only,Hisilicon Kirin 9000S (Mate 60),16384,48.08
AES-256-CTR,Encryption Only,Hisilicon Kirin 9000S (Mate 60),64,2
AES-256-CTR,Encryption Only,Hisilicon Kirin 9000S (Mate 60),256,4.75
